,区分,メニュー名称,卵,乳成分,小麦,えび,かに,そば,落花生,くるみ,アーモンド,あわび,いか,いくら,オレンジ,カシューナッツ,キウイフルーツ,牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン
120,寿司,九州産天然黒ムツ,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
121,寿司,牛タン軍艦,,○,○,○,,,,,,,,,,,,●,○,,,○,○,,○,,,,○,○
122,寿司,牛タンにぎり,,○,○,,,,,,,,,,,,,●,○,,,○,○,,○,,,,○,○
123,寿司,きゅうり巻,,,○,○,,,,,,,,,,,,○,,,,○,,,○,,,,○,
124,寿司,金目鯛天ぷら,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
125,寿司,グリルチキン,●,●,●,,,,○,,,,,,,,,○,○,,,●,●,,○,,,○,○,
126,寿司,黒みる貝,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
127,寿司,黒みる貝の塩だれユッケ,,,○,,,,,,,,,,,,,○,●,,,○,,,○,,,,○,
128,寿司,軍艦甘えび,●,,○,●,,,,,,,,,,,,○,,,,●,,,○,,,,●,
129,寿司,軍艦ねぎまぐろ,○,○,○,○,,,,,,,○,,,,,○,,○,,○,,,○,,,○,○,○
130,寿司,軍艦ねぎまぐろ(白髪ネギ),○,○,○,○,,,,,,,○,,,,,○,,○,,○,,,○,,,○,○,○
131,寿司,気仙沼産フカヒレにぎり,,○,●,○,,,,,,,,,,,,○,●,,,●,●,,○,,,,○,
132,寿司,こういか,,,○,,,,,,,,●,,,,,○,,,,○,,,○,,,,○,●
133,寿司,コーン,●,,○,○,,,,,,,,,,,,○,,,,●,,,○,,,,●,
134,寿司,ツナサラダ・コーン,●,●,●,○,,,,,,,,,,,,○,○,○,○,●,○,,○,,,,●,○
135,寿司,焦がし醤油ジャンボとろサーモン,,,●,,,,,,,,,,,,,○,,●,,●,,,○,,,,○,
136,寿司,国産 ナメタかれい,,,○,○,○,,,,,○,○,○,,,,○,,○,○,○,,,○,,,,○,
137,寿司,国産甘えび,,,○,●,,,,,,,○,○,,,,○,,○,○,○,,,○,,,,○,
138,寿司,国産特大ほたて貝柱,,,○,○,○,,,,,,○,○,,,,○,,○,○,○,,,○,,,,○,
139,寿司,国産 生車えび,●,●,●,●,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
140,寿司,国産生サーモン,○,○,○,○,○,,,,,,○,○,,,,○,○,●,○,○,,,○,,,,○,
141,寿司,国産生サーモン(ミニしゃり),○,○,○,○,○,,,,,,○,○,,,,○,○,●,○,○,,,○,,,,○,
142,寿司,国産生ほたて,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
143,寿司,国産真あじ,,,○,,,,,,,,,,,,,○,,,○,○,,,○,,,,○,
144,寿司,小粒納豆,,○,○,○,,,,,,,,,,,,○,,,,●,,,○,,,,○,
145,寿司,小粒納豆巻(ねぎ抜き),,○,○,○,,,,,,,,,,,,○,,,,●,,,○,,,,○,
146,寿司,小柱たらこ和え軍艦,,,●,○,,,,,,,,,,,,○,,,,●,,,○,,,,○,
147,寿司,小柱ユッケ軍艦,,○,●,○,○,,,,,,,,,,,○,●,,○,●,○,,○,,,,●,
148,寿司,こはだ,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
149,寿司,昆布〆金目鯛の炙り,,,○,○,○,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
150,寿司,サーモン,○,○,○,○,○,,,,,,○,,,,,○,,●,○,○,,,○,,,,○,
151,寿司,サーモン(ミニしゃり),○,○,○,○,○,,,,,,○,,,,,○,,●,○,○,,,○,,,,○,
152,寿司,えび・サーモン,○,○,○,●,○,,,,,,○,,,,,○,,●,○,○,,,○,,,,○,
153,寿司,サーモン・焼とろサーモン,○,○,○,○,○,,,,,,○,,,,,○,,●,○,○,,,○,,,,○,
154,寿司,サーモン3貫盛り,○,○,○,○,○,,,,,,○,,,,,○,,●,○,○,,,○,,,,○,
155,寿司,サーモンアボカド,●,○,○,○,○,,,,,,○,,,,,○,,●,○,●,,,○,,,,●,
156,寿司,サーモンアボカドまぐろーる,●,○,●,○,○,,,,,,○,,,,,○,●,●,●,●,○,,○,,,,●,○
157,寿司,サーモン・いか,○,○,○,○,○,,,,,,●,,,,,○,,●,○,○,,,○,,,,○,
158,寿司,サーモンいくら軍艦,○,○,●,○,○,,,,,,○,●,,,,○,,●,●,●,,,○,,,,○,
159,寿司,サーモン・たまご,●,○,●,○,○,,,,,,○,,,,,○,○,●,●,●,○,,○,,,,○,
160,寿司,サーモンちーず,●,●,○,○,○,,,,,,○,,,,,○,,●,○,●,,,○,,,,●,○
161,寿司,サーモンとろたく,,,○,○,,,,,,,,,,,,○,○,●,,●,,,○,,○,,○,
162,寿司,サーモンのカプレーゼ,○,●,○,○,○,,,,○,,○,,,○,,○,,●,○,○,○,○,○,,,,○,
163,寿司,サーモンバジルモッツァレラ,○,●,●,○,○,,,,○,,○,,,○,,○,,●,○,●,○,○,○,,,,○,
